Date of Final Decision,Submission Number ,Device,Company,Panel (lead),Primary Product Code,product_code,medical_specialty_description,device_class,device_name,definition
2024-01-12,DEN220040,Fibresolve,"Imvaria, Inc",Radiology,QWO,QWO,Radiology,2,Radiology Software For Referral Of Findings Related To Fibrotic Lung Disease.,Radiology software for referral of findings related to fibrotic lung disease is a prescription image processing device that analyzes computed tomography images to suggest the presence of disease or of an imaging finding suggestive of disease. The output of this device is intended to be used as adjunctive information as part of a referral pathway in the overall diagnostic assessment process.
2024-01-11,K232250,SurgiCount+ System,Stryker Instruments,General Hospital,PBZ,PBZ,General Hospital,2,Image Processing Device For Estimation Of External Blood Loss,An image processing device for estimation of external blood loss is a device to be used as an aid in estimation of patient external blood loss.  The device may include software and/or hardware that is used to process images capturing externally lost blood to estimate the hemoglobin mass and/or the blood volume present in the images.
2024-01-11,DEN220066,BrainSee,"Darmiyan, Inc.",Neurology,QWT,QWT,Neurology,2,Prognostic Assessment Software Of Mild Cognitive Impairment,"Prognostic assessment software of mild cognitive impairment. Prognostic assessment software of mild cognitive impairment is a prescription-only device that combines information from multiple clinical data sources to produce an output indicative of the likelihood that a patient diagnosed with mild cognitive impairment will progress to more severe forms of cognitive impairment, or will develop dementia, such as Alzheimers disease dementia, within a specified period of time. This device is intended for adjunctive use and not intended as a stand-alone diagnostic or prognostic too."
2024-01-08,K232412,LungQ v3.0.0,Thirona BV,Radiology,JAK,JAK,Radiology,2,"System, X-Ray, Tomography, Computed",
2024-01-08,K231324,DASI Dimensions (V1.0),DASI Simulations,Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2024-01-07,K231068,autoSCORE,Holberg EEG AS,Neurology,OMB,OMB,Neurology,2,Automatic Event Detection Software For Full-Montage Electroencephalograph,"Automatically mark or identify electroencephalograph waveforms for spikes, electrographic seizures, seizure-like events in order to aid in identification of such events and help review and annotation of prolonged EEG traces; All output subject to verification by qualified user"
2024-01-05,K231917,VEA Align,EOS imaging,Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2024-01-04,K232808,Butterfly iQ3 Ultrasound System,"Butterfly Network, Inc.",Radiology,IYN,IYN,Radiology,2,"System, Imaging, Pulsed Doppler, Ultrasonic",
2024-01-03,K231779,REMI AI Discrete Detection Module,"Epitel, Inc.",Neurology,OMB,OMB,Neurology,2,Automatic Event Detection Software For Full-Montage Electroencephalograph,"Automatically mark or identify electroencephalograph waveforms for spikes, electrographic seizures, seizure-like events in order to aid in identification of such events and help review and annotation of prolonged EEG traces; All output subject to verification by qualified user"
2023-12-26,K231130,TumorSight Viz,"SimBioSys, Inc.",Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2023-12-22,K231805,qXR-LN,Qure.ai Technologies,Radiology,MYN,MYN,Radiology,2,"Analyzer, Medical Image","For information on the MYN device, please see:  https://www.federalregister.gov/documents/2020/01/22/2020-00494/radiology-devices-reclassification-of-medical-image-analyzers"
2023-12-22,K232535,MAGNETOM Sola; MAGNETOM Altea,"Siemens Medical Solutions USA, Inc.",Radiology,LNH,LNH,Radiology,2,"System, Nuclear Magnetic Resonance Imaging",
2023-12-22,K232479,ART-Plan,TheraPanacea,Radiology,MUJ,MUJ,Radiology,2,"System, Planning, Radiation Therapy Treatment",
2023-12-21,K233112,HM70 EVO Diagnostic Ultrasound System,"Samsung Medison CO., LTD.",Radiology,IYN,IYN,Radiology,2,"System, Imaging, Pulsed Doppler, Ultrasonic",
2023-12-20,K233176,uOmnispace.MI,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,LLZ,LLZ,Radiology,2,"System, Image Processing, Radiological",
2023-12-20,K230850,United Orthopedic Knee Patient Specific Instrumentation,"Enhatch, Inc.",Orthopedic,OOG,OOG,Orthopedic,2,Knee Arthroplasty Implantation System,"Intended to be used to assist in the implantation of a specific knee arthroplasty device or a set of specific knee arthroplasty devices.  Indicated to include guiding alignment, making or establishing cuts, selecting, sizing, attaching, positioning or orienting implant components."
2023-12-18,K231929,iQ-solutions,Sydney Neuroimaging Analysis Centre Pty Ltd,Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2023-12-18,K231587,MAGNETOM Cima.X,"Siemens Medical Solutions USA, Inc.",Radiology,LNH,LNH,Radiology,2,"System, Nuclear Magnetic Resonance Imaging",
2023-12-15,K230751,EW10-EC02 Endoscopy Support Program,FUJIFILM Corporation,Gastroenterology-Urology,QNP,QNP,"Gastroenterology, Urology",2,Gastrointesinal Lesion Software Detection System,A gastrointestinal lesion software detection system is a computer-assisted detection device used in conjunction with endoscopy for the detection of abnormal lesions in the gastrointestinal tract. This device with advanced software algorithms brings attention to images to aid in the detection of lesions. The device may contain hardware to support interfacing with an endoscope.
2023-12-15,K232384,Videa Dental Assist,"VideaHealth, Inc.",Radiology,MYN,MYN,Radiology,2,"Analyzer, Medical Image","For information on the MYN device, please see:  https://www.federalregister.gov/documents/2020/01/22/2020-00494/radiology-devices-reclassification-of-medical-image-analyzers"
2023-12-14,K231570,StrokeViewer Perfusion,NICo-Lab B.V.,Radiology,LLZ,LLZ,Radiology,2,"System, Image Processing, Radiological",
2023-12-13,K232237,Tyto Insights for Wheeze Detection,Tyto Care Ltd.,Anesthesiology,PHZ,PHZ,Anesthesiology,2,Abnormal Breath Sound Device,"The device is intended to measure abnormal breath sound, such as wheeze, rhonchi, and whistling."
2023-12-13,K232231,QP-Brain®,Quibim S.L.,Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2023-12-11,K232096,Transpara Density 1.0.0,Screenpoint Medical B.V.,Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2023-12-08,K223757,Bonelogic,Disior Ltd,Radiology,LLZ,LLZ,Radiology,2,"System, Image Processing, Radiological",
2023-12-08,K231898,DTX Studio Clinic (4.0),Nobel Biocare AB,Radiology,LLZ,LLZ,Radiology,2,"System, Image Processing, Radiological",
2023-12-07,K232381,LOGIQ Totus,"GE Medical Systems Ultrasound and Primary care Diagnostics,",Radiology,IYN,IYN,Radiology,2,"System, Imaging, Pulsed Doppler, Ultrasonic",
2023-12-07,K232661,Myocardial Strain Software Application,Circle Cardiovascular Imaging,Radiology,LLZ,LLZ,Radiology,2,"System, Image Processing, Radiological",
2023-12-06,K233562,LINQ II Insertable Cardiac Monitor,"Medtronic, Inc.",Cardiovascular,MXD,MXD,Cardiovascular,2,"Recorder, Event, Implantable Cardiac, (With Arrhythmia Detection)",
2023-12-06,K233334,Aquilion Serve SP (TSX-307B/1) V1.3,Canon Medical Systems Corporation,Radiology,JAK,JAK,Radiology,2,"System, X-Ray, Tomography, Computed",
2023-12-05,K232440,Adravision Perio,Adra Corporation,Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2023-12-05,K233568,Ceevra Reveal 3+,"Ceevra, Inc.",Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2023-12-01,K232856,Syngo Carbon Clinicals,Siemens Healthcare GmbH,Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2023-11-30,K233545,EPIQ Series Diagnostic Ultrasound System,Philips Ultrasound LLC,Radiology,IYN,IYN,Radiology,2,"System, Imaging, Pulsed Doppler, Ultrasonic",
2023-11-29,K230179,6440 MyLabX90,Esaote S.p.A.,Radiology,IYN,IYN,Radiology,2,"System, Imaging, Pulsed Doppler, Ultrasonic",
2023-11-28,K231631,BriefCase-Quantification,"Aidoc Medical, Ltd.",Radiology,JAK,JAK,Radiology,2,"System, X-Ray, Tomography, Computed",
2023-11-28,K232000,syngo.via MI Workflows; Scenium; syngo MBF,"Siemens Medical Solutions USA, Inc.",Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2023-11-27,K233243,ClearPoint System (Software Version 2.2),ClearPoint Neuro Inc.,Neurology,HAW,HAW,Neurology,2,Neurological Stereotaxic Instrument,
2023-11-21,K232496,Brainomix 360 Triage Stroke,Brainomix Limited,Radiology,QAS,QAS,Radiology,2,Radiological Computer-Assisted Triage And Notification Software,Radiological computer-assisted triage and notification software is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems.   The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification .
2023-11-17,K232501,AI Platform (AIP001),Exo Inc,Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2023-11-15,K232841,Axial3D Insight,Axial Medical Printing Limited,Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2023-11-14,K232494,MAGNETOM Avanto fit; MAGNETOM Skyra fit,"Siemens Medical Solutions USA, Inc.",Radiology,LNH,LNH,Radiology,2,"System, Nuclear Magnetic Resonance Imaging",
2023-11-13,K232083,BriefCase-Quantification,"Aidoc Medical, Ltd.",Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2023-11-13,K232257,Clarius Bladder AI,Clarius Mobile Health Corp.,Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2023-11-09,K223754,BraveCX,Bering Ltd,Radiology,QFM,QFM,Radiology,2,Radiological Computer-Assisted Prioritization Software For Lesions,Radiological computer-assisted prioritization software for lesions is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems. The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification.
2023-11-09,K231617,MAGNETOM Free.Max; MAGNETOM Free.Star,"Siemens Medical Solutions USA, Inc.",Radiology,LNH,LNH,Radiology,2,"System, Nuclear Magnetic Resonance Imaging",
2023-11-08,K231765,Contour ProtégéAI,MIM Software Inc.,Radiology,QKB,QKB,Radiology,2,Radiological Image Processing Software For Radiation Therapy,"To provide semi-automatic or fully-automated radiological image processing and analysis tools for radiation therapy. Software implementing artificial intelligence (AI) including nonadaptive machine learning algorithms trained with clinical and/or artificial radiological images. In these devices, the algorithm training images  typically impact device performance. AI based radiological image processing software  is intended to be used in the workflow of radiation therapy.  Adaptive AI algorithms are not within the scope of this product code. Primary radiation dose calculation or plan optimization for treatment planning are not within scope of this product code."
2023-11-08,K230534,BriefCase-Quantification,"Aidoc Medical, Ltd.",Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2023-11-07,K231989,"LOGIQ E10s, LOGIQ Fortis","GE Medical Systems Ultrasound and Primary Care Diagnostic,",Radiology,IYN,IYN,Radiology,2,"System, Imaging, Pulsed Doppler, Ultrasonic",
2023-11-07,K231966,LOGIQ E10,"GE Medical Systems Ultrasound and Primary care Diagnostics,",Radiology,IYN,IYN,Radiology,2,"System, Imaging, Pulsed Doppler, Ultrasonic",
2023-11-06,K231470,Lunit INSIGHT DBT,Lunit Inc.,Radiology,QDQ,QDQ,Radiology,2,Radiological Computer Assisted Detection/Diagnosis Software For Lesions Suspicious For Cancer,"A radiological computer assisted detection and diagnostic software for suspected lesions is an image processing device intended to aid in the detection, localization, and characterization of lesions suspicious for cancer on acquired medical images (e.g., mammography , MR, CT, ultrasound, radiography). The device detects, identifies and characterizes lesions suspicious for cancer based on features or information extracted from the images, and may provide information about the presence, location, and characteristics of the lesion to the user. Primary diagnostic and patient management decisions are made by the clinical user."
2023-11-03,K231955,aprevo® Digital Segmentation,"Carlsmed, Inc.",Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2023-10-30,K232145,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.",Radiology,IYN,IYN,Radiology,2,"System, Imaging, Pulsed Doppler, Ultrasonic",
2023-10-30,K232751,BriefCase-Triage,"Aidoc Medical, Ltd.",Radiology,QAS,QAS,Radiology,2,Radiological Computer-Assisted Triage And Notification Software,Radiological computer-assisted triage and notification software is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems.   The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification .
2023-10-30,K231965,"Voluson Expert 22, Voluson Expert 20, Voluson Expert 18","GE Medical Systems Ultrasound and Primary Care Diagnostics,",Radiology,IYN,IYN,Radiology,2,"System, Imaging, Pulsed Doppler, Ultrasonic",
2023-10-27,K230854,SwiftMR,AIRS Medical Inc.,Radiology,LLZ,LLZ,Radiology,2,"System, Image Processing, Radiological",
2023-10-27,K232045,MeVis Liver Suite,MeVis Medical Solutions AG,Radiology,JAK,JAK,Radiology,2,"System, X-Ray, Tomography, Computed",
2023-10-26,K232500,Lumify Diagnostic Ultrasound System,Philips Ultrasound,Radiology,IYN,IYN,Radiology,2,"System, Imaging, Pulsed Doppler, Ultrasonic",
2023-10-25,K232436,Rapid SDH,"iSchemaView, Inc.",Radiology,QAS,QAS,Radiology,2,Radiological Computer-Assisted Triage And Notification Software,Radiological computer-assisted triage and notification software is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems.   The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification .
2023-10-25,K230842,SignalHF (IM008),Implicity Inc.,Cardiovascular,QNL,QNL,Cardiovascular,2,Medium-Term Adjunctive Predictive Cardiovascular Indicator,The adjunctive predictive cardiovascular indicator is a prescription device that uses software algorithms to analyze cardiovascular vital signs and predict future cardiovascular status or events within a defined medium-term period. This device is intended for adjunctive use with other physical vital sign parameters and patient information and is not intended to independently direct therapy.
2023-10-23,K231764,Ultrasound System 1300,BK Medical Aps,Radiology,IYN,IYN,Radiology,2,"System, Imaging, Pulsed Doppler, Ultrasonic",
2023-10-23,K231560,MAGNETOM Vida; MAGNETOM Lumina; MAGNETOM Aera; MAGNETOM Skyra; MAGNETOM Prisma; MAGNETOM Prisma fit,"Siemens Medical Solutions USA, Inc.",Radiology,LNH,LNH,Radiology,2,"System, Nuclear Magnetic Resonance Imaging",
2023-10-23,K232305,AI-Rad Companion Brain MR,Siemens Medical Solutions U.S.A.,Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2023-10-20,K230209,Sonix Health,"Ontact Health Co., Ltd.",Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2023-10-13,K230370,SpotLight/SpotLight Duo (with DLIR option),Arineta Ltd.,Radiology,JAK,JAK,Radiology,2,"System, X-Ray, Tomography, Computed",
2023-10-13,K231642,Veuron-Brain-pAb3,"Heuron Co., Ltd.",Radiology,LLZ,LLZ,Radiology,2,"System, Image Processing, Radiological",
2023-10-11,K230220,NeuViz 128 Multi-Slice CT Scanner System,"Neusoft Medical Systems Co., Ltd.",Radiology,JAK,JAK,Radiology,2,"System, X-Ray, Tomography, Computed",
2023-10-06,K223905,Vivio® LVEDP System,"Avicena, LLC",Cardiovascular,QUO,QUO,Cardiovascular,2,Adjunctive Heart Failure Status Indicator,The adjunctive heart failure status indicator is a prescription device based on sensor technology or image data to provide information to an interpreting clinician in detecting heart failure. This device is intended for adjunctive use with other physical vital sign parameters and patient information and is not intended to independently direct therapy.
2023-10-06,K230144,Denti.AI Detect,"Denti.AI Technology, Inc.",Radiology,MYN,MYN,Radiology,2,"Analyzer, Medical Image","For information on the MYN device, please see:  https://www.federalregister.gov/documents/2020/01/22/2020-00494/radiology-devices-reclassification-of-medical-image-analyzers"
2023-10-06,K232760,Swoop® Portable MR Imaging System®,"Hyperfine, Inc.",Radiology,LNH,LNH,Radiology,2,"System, Nuclear Magnetic Resonance Imaging",
2023-10-06,K232787,ScanNav Anatomy Peripheral Nerve Block,Intelligent Ultrasound Limited,Anesthesiology,QRG,QRG,Anesthesiology,2,Ultrasound Guided Nerve Block Assist,This device provides real-time interpretation and enhanced visualization of live ultrasound images by highlighting anatomical landmarks in preparation for performing regional anesthesia.
2023-10-05,K232704,Clarius Ultrasound Scanner,Clarius Mobile Health Corp.,Radiology,IYN,IYN,Radiology,2,"System, Imaging, Pulsed Doppler, Ultrasonic",
2023-10-05,K231001,DeepTek CXR Analyzer v1.0,DeepTek Medical Imaging Pvt Ltd,Radiology,MYN,MYN,Radiology,2,"Analyzer, Medical Image","For information on the MYN device, please see:  https://www.federalregister.gov/documents/2020/01/22/2020-00494/radiology-devices-reclassification-of-medical-image-analyzers"
2023-10-05,K232367,cmAngio® V1.0,"CureMetrix, Inc.",Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2023-10-04,K231025,EFAI NeuroSuite CT ICH Assessment System,"Ever Fortune.AI Co., Ltd.",Radiology,QAS,QAS,Radiology,2,Radiological Computer-Assisted Triage And Notification Software,Radiological computer-assisted triage and notification software is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems.   The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification .
2023-10-04,K231398,VUNO Med-DeepBrain,VUNO Inc.,Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2023-10-04,K232023,Momentum Spine,Momentum Health Inc.,Radiology,LDK,LDK,Unknown,U,"Device, Sensing, Optical Contour",
2023-10-03,K230085,Lung-CAD,"Imagen Technologies, Inc",Radiology,MYN,MYN,Radiology,2,"Analyzer, Medical Image","For information on the MYN device, please see:  https://www.federalregister.gov/documents/2020/01/22/2020-00494/radiology-devices-reclassification-of-medical-image-analyzers"
2023-10-03,K232712,uMI Panorama,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,KPS,KPS,Radiology,2,"System, Tomography, Computed, Emission",
2023-10-03,K231772,"V8/H8 Diagnostic Ultrasound System, V7/H7 Diagnostic Ultrasound System, V6/H6 Diagnostic Ultrasound System","Samsung Medison Co., Ltd.",Radiology,IYN,IYN,Radiology,2,"System, Imaging, Pulsed Doppler, Ultrasonic",
2023-09-29,K230045,HipCheck,Stryker Corp.,Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2023-09-28,K232699,Low Ejection Fraction AI-ECG Algorithm,"Anumana, Inc.",Cardiovascular,QYE,QYE,Cardiovascular,2,Reduced Ejection Fraction Machine Learning-Based Notification Software,Reduced Ejection Fraction machine learning-based notification software employs machine learning techniques to suggest the likelihood of a reduced ejection fraction for further referral or diagnostic follow-up.
2023-09-28,K231837,Brainomix 360 Triage LVO,Brainomix Limited,Radiology,QAS,QAS,Radiology,2,Radiological Computer-Assisted Triage And Notification Software,Radiological computer-assisted triage and notification software is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems.   The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification .
2023-09-27,K232616,Volta AF-Xplorer,Volta Medical,Cardiovascular,DQK,DQK,Cardiovascular,2,"Computer, Diagnostic, Programmable",
2023-09-26,K230252,OFIX MIS App,Orthofix US LLC,Radiology,LLZ,LLZ,Radiology,2,"System, Image Processing, Radiological",
2023-09-25,K231928,EFAI RTSUITE CT HCAP-Segmentation System,"Ever Fortune.AI Co., Ltd.",Radiology,QKB,QKB,Radiology,2,Radiological Image Processing Software For Radiation Therapy,"To provide semi-automatic or fully-automated radiological image processing and analysis tools for radiation therapy. Software implementing artificial intelligence (AI) including nonadaptive machine learning algorithms trained with clinical and/or artificial radiological images. In these devices, the algorithm training images  typically impact device performance. AI based radiological image processing software  is intended to be used in the workflow of radiation therapy.  Adaptive AI algorithms are not within the scope of this product code. Primary radiation dose calculation or plan optimization for treatment planning are not within scope of this product code."
2023-09-22,K231384,Annalise Enterprise CTB Triage Trauma,Annalise-AI Pty Ltd.,Radiology,QAS,QAS,Radiology,2,Radiological Computer-Assisted Triage And Notification Software,Radiological computer-assisted triage and notification software is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems.   The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification .
2023-09-22,K231767,Annalise Enterprise CTB Triage Trauma,Annalise-AI Pty Ltd,Radiology,QAS,QAS,Radiology,2,Radiological Computer-Assisted Triage And Notification Software,Radiological computer-assisted triage and notification software is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems.   The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification .
2023-09-22,K231149,qXR-CTR,Qure.ai Technologies,Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2023-09-22,K223659,Jazz,AI Medical AG,Radiology,LLZ,LLZ,Radiology,2,"System, Image Processing, Radiological",
2023-09-21,K231678,Overjet Periapical Radiolucency Assist,"Overjet, Inc",Radiology,MYN,MYN,Radiology,2,"Analyzer, Medical Image","For information on the MYN device, please see:  https://www.federalregister.gov/documents/2020/01/22/2020-00494/radiology-devices-reclassification-of-medical-image-analyzers"
2023-09-19,K231281,Aquilion Serve (TSX-307A/1) V1.3,Canon Medical Systems Corporation,Radiology,JAK,JAK,Radiology,2,"System, X-Ray, Tomography, Computed",
2023-09-19,K221309,AI100 with Shonit,SigTuple Technologies Pvt. Ltd.,Hematology,JOY,JOY,Hematology,2,"Device, Automated Cell-Locating",
2023-09-14,K220034,NEUROShield,In-Med Prognostics L3C,Radiology,LLZ,LLZ,Radiology,2,"System, Image Processing, Radiological",
2023-09-13,K223811,Lung-CAD,"Imagen Technologies, Inc",Radiology,MYN,MYN,Radiology,2,"Analyzer, Medical Image","For information on the MYN device, please see:  https://www.federalregister.gov/documents/2020/01/22/2020-00494/radiology-devices-reclassification-of-medical-image-analyzers"
2023-09-12,K231748,Cartesion Prime (PCD-1000A/3) V10.15,Canon Medical Systems Corporation,Radiology,KPS,KPS,Radiology,2,"System, Tomography, Computed, Emission",
2023-09-12,K232526,"XIDF-AWS801, Angio Workstation (Alphenix Workstation), V9.5",Canon Medical Systems Corporation,Radiology,JAA,JAA,Radiology,2,"System, X-Ray, Fluoroscopic, Image-Intensified",
2023-09-09,K223864,"Alignment System Cranial, Alignment Software Cranial, Cirq Alignment Software Cranial Biopsy, Cirq Alignment Software Cranial sEEG, Varioguide Alignment Software Cranial",Brainlab AG,Neurology,HAW,HAW,Neurology,2,Neurological Stereotaxic Instrument,
2023-09-08,K231335,Cleerly ISCHEMIA,"Cleerly, Inc",Cardiovascular,QXZ,QXZ,Cardiovascular,2,Adjunctive Epicardial Vascular Physiologic Status Indicator,The adjunctive epicardial vascular physiologic status indicator is a prescription device based on sensor technology or image data to provide information to an interpreting clinician in detecting the possible presence of functionally significant coronary artery disease to suggest the need for further testing. This device is intended for adjunctive use with other clinical workup or patient information and is not intended to quantify the degree to which epicardial disease is limiting flow through a vessel nor is it intended to independently direct therapy.
2023-09-08,K222921,Minuteful-kidney test,Healthy.io Ltd.,Clinical Chemistry,JIR,JIR,Clinical Chemistry,1,"Indicator Method, Protein Or Albumin (Urinary, Non-Quant.)",
