proprietary_name,openfda.device_name,product_code,created_date,cleaned_proprietary_name
"['DIGITAL RADIOGRAPHY CXDI-Elite', 'DIGITAL RADIOGRAPHY E1']",Solid State X-Ray Imager (Flat Panel/Digital Imager),MQB,2023-01-10,'digital radiography cxdi-elite' 'digital radiography e1'
['Wearable Breast Pump (Model P3);'],"Pump, Breast, Powered",HGX,2023-07-03,'wearable breast pump (model p3);'
"['AliveCor QT Service', 'QT Service Algorithm']","Computer, Diagnostic, Programmable",DQK,2022-06-24,'alivecor qt service' 'qt service algorithm'
"['AliveCor QT Service', 'QT Service Algorithm']",Electrocardiograph,DPS,2022-06-24,'alivecor qt service' 'qt service algorithm'
['SeniorLife.AI'],"Exerciser, Measuring",ISD,2023-06-26,'seniorlife.ai'
"['Aveir Leadless Pacemaker - Models LSP112V, LSP201A, LSP202V', 'Aveir Delivery Catheter - Models LSCD201, LSCD111', 'Aveir Link Module - Model LSL02', 'Aveir Patient Transmitter - Model LSRM01', 'Aveir Patient Transmitter Wired Electrodes - Model LSRMC01', 'Aveir Patient Transmitter Software - Model LSRM1000']",Leadless Pacemaker,PNJ,2022-04-06,'aveir leadless pacemaker - models lsp112v lsp201a lsp202v' 'aveir delivery catheter - models lscd201 lscd111' 'aveir link module - model lsl02' 'aveir patient transmitter - model lsrm01' 'aveir patient transmitter wired electrodes - model lsrmc01' 'aveir patient transmitter software - model lsrm1000'
"['ELICAL 2, 4 x 3 mL, REF CALI-0580', 'ELITROL I, 10 x 5 mL, REF CONT-0080', 'Creatinine PAP SL, 8 x 28 mL, REF CRSL-0250-NA', 'ELITROL II, 10 x 5 mL, REF CONT-0180']","Multi-Analyte Controls, All Kinds (Assayed)",JJY,2024-05-31,'elical 2 4 x 3 ml ref cali-0580' 'elitrol i 10 x 5 ml ref cont-0080' 'creatinine pap sl 8 x 28 ml ref crsl-0250-na' 'elitrol ii 10 x 5 ml ref cont-0180'
"['ELICAL 2, 4 x 3 mL, REF CALI-0580', 'ELITROL I, 10 x 5 mL, REF CONT-0080', 'Creatinine PAP SL, 8 x 28 mL, REF CRSL-0250-NA', 'ELITROL II, 10 x 5 mL, REF CONT-0180']","Enzymatic Method, Creatinine",JFY,2024-05-31,'elical 2 4 x 3 ml ref cali-0580' 'elitrol i 10 x 5 ml ref cont-0080' 'creatinine pap sl 8 x 28 ml ref crsl-0250-na' 'elitrol ii 10 x 5 ml ref cont-0180'
"['ELICAL 2, 4 x 3 mL, REF CALI-0580', 'ELITROL I, 10 x 5 mL, REF CONT-0080', 'Creatinine PAP SL, 8 x 28 mL, REF CRSL-0250-NA', 'ELITROL II, 10 x 5 mL, REF CONT-0180']","Calibrator, Multi-Analyte Mixture",JIX,2024-05-31,'elical 2 4 x 3 ml ref cali-0580' 'elitrol i 10 x 5 ml ref cont-0080' 'creatinine pap sl 8 x 28 ml ref crsl-0250-na' 'elitrol ii 10 x 5 ml ref cont-0180'
"['AQUIOS STEM Kit', 'AQUIOS STEM CD34 Control Cells', 'AQUIOS STEM Software', 'AQUIOS CL Flow Cytometer']",Flow Cytometric Reagents And Accessories.,OYE,2023-12-13,'aquios stem kit' 'aquios stem cd34 control cells' 'aquios stem software' 'aquios cl flow cytometer'
"['Zoom 88 Large Distal Platform Support', 'Zoom POD Aspiration Tubing', 'Zoom (71, 55, 45, 35) Catheters', 'TracStar LDP Large Distal Platform', 'Zoom System', 'Zoom Aspiration Tubing', 'Zoom 88 Large Distal Platform']","Catheter, Thrombus Retriever",NRY,2025-01-27,'zoom 88 large distal platform support' 'zoom pod aspiration tubing' 'zoom (71 55 45 35) catheters' 'tracstar ldp large distal platform' 'zoom system' 'zoom aspiration tubing' 'zoom 88 large distal platform'
['S10 Wearable Breast Pump; S9 Wearable Double Breast Pump; S9 Wearable Single Breast Pump; Wearable Breast Pump (Model S1'],"Pump, Breast, Powered",HGX,2023-04-21,'s10 wearable breast pump; s9 wearable double breast pump; s9 wearable single breast pump; wearable breast pump (model s1'
['ArchForm Orthodontic Software System'],"System, Image Processing, Radiological",LLZ,2024-11-13,'archform orthodontic software system'
['ArchForm Orthodontic Software System'],Orthodontic Software,PNN,2024-11-13,'archform orthodontic software system'
"['CEPHX, CEPHX- Cephalometric Analysis Software']","System, Image Processing, Radiological",LLZ,2024-03-05,'cephx cephx- cephalometric analysis software'
['Sol-Guard Solo 0.5 ml Safety Insulin syringe w/Fixed Needle 31G x 8mm'],"Syringe, Piston",FMF,2024-01-24,'sol-guard solo 0.5 ml safety insulin syringe w/fixed needle 31g x 8mm'
['Sol-Guard Solo 0.5 ml Safety Insulin syringe w/Fixed Needle 31G x 8mm'],"Needle, Hypodermic, Single Lumen",FMI,2024-01-24,'sol-guard solo 0.5 ml safety insulin syringe w/fixed needle 31g x 8mm'
['Single Platform SP1 Implant System and accessories'],"Abutment, Implant, Dental, Endosseous",NHA,2023-12-04,'single platform sp1 implant system and accessories'
['Single Platform SP1 Implant System and accessories'],Dental Abutment Design Software For Dental Laboratory,PNP,2023-12-04,'single platform sp1 implant system and accessories'
['Single Platform SP1 Implant System and accessories'],"Implant, Endosseous, Root-Form",DZE,2023-12-04,'single platform sp1 implant system and accessories'
"['7L/3S/ 3C/ 6MC/ 6E', 'SonoAir 10/20/30/40/50/60/70/80/90 Digital Color Doppler Ultrasound System']","Transducer, Ultrasonic, Diagnostic",ITX,2023-04-02,'7l/3s/ 3c/ 6mc/ 6e' 'sonoair 10/20/30/40/50/60/70/80/90 digital color doppler ultrasound system'
"['7L/3S/ 3C/ 6MC/ 6E', 'SonoAir 10/20/30/40/50/60/70/80/90 Digital Color Doppler Ultrasound System']","System, Imaging, Pulsed Doppler, Ultrasonic",IYN,2023-04-02,'7l/3s/ 3c/ 6mc/ 6e' 'sonoair 10/20/30/40/50/60/70/80/90 digital color doppler ultrasound system'
"['7L/3S/ 3C/ 6MC/ 6E', 'SonoAir 10/20/30/40/50/60/70/80/90 Digital Color Doppler Ultrasound System']","System, Imaging, Pulsed Echo, Ultrasonic",IYO,2023-04-02,'7l/3s/ 3c/ 6mc/ 6e' 'sonoair 10/20/30/40/50/60/70/80/90 digital color doppler ultrasound system'
['Clearblue Digital Pregnancy Test'],"Kit, Test, Pregnancy, Hcg, Over The Counter",LCX,2022-07-07,'clearblue digital pregnancy test'
['Momcozy Wearable Breast Pump (S9 Pro & S12 Pro );'],"Pump, Breast, Powered",HGX,2023-06-13,'momcozy wearable breast pump (s9 pro & s12 pro );'
"['Momcozy Wearable Breast Pump (BP137, BP141)']","Pump, Breast, Powered",HGX,2024-04-22,'momcozy wearable breast pump (bp137 bp141)'
"['Rectangular Trays', 'Plastic Deep Prep Trays', 'Medium Platform Tray']","Tray, Surgical, Instrument",FSM,2024-01-04,'rectangular trays' 'plastic deep prep trays' 'medium platform tray'
['Wearable Breast Pump'],"Pump, Breast, Powered",HGX,2023-10-30,'wearable breast pump'
['Genius Digital Diagnostics System with the Genius Cervical AI algorithm'],Digital Cervical Cytology Slide Imaging System With Artificial Intelligence Algorithm,QYV,2024-02-20,'genius digital diagnostics system with the genius cervical ai algorithm'
"['Forme Science Posture Shirts', 'Forme Science Posture Bras', 'Forme Science Bottoms for Postural Improvement and Alignment', 'Forme Wearable Tech Products for Postural and Alignment Improvement']","Monitor, Spine Curvature",LZW,2024-10-23,'forme science posture shirts' 'forme science posture bras' 'forme science bottoms for postural improvement and alignment' 'forme wearable tech products for postural and alignment improvement'
"['Flattening Drill', 'Twist Drills', '123 Drills', 'Perforation Drill', 'Tissue Punches', 'Lance Drills', '122 Drills', 'Guided Initial Drill', 'Drill Length Indication', 'Guide Drills', 'Orthodontic Drills', 'SET Drills', 'Triple Edge Drills', 'Initial Drills', 'SideCut Drills', 'AutoBone Collector', 'DIRECT Drills', 'Trephine Drills', 'OneCAS Drills', 'Cortical Drills', 'Anchor Screw', 'Digital Lab Analog Reamer Drill', 'Crest Remover', 'Expansion Drills', 'One485 Drills', 'Saw', 'Ultra Drills', 'OneMS Drills', 'Anchor Drill', 'Reverse Drills', 'OsstemGuide Drills', 'Taper Drills', 'Three Cutter Drills', '485 Drills', 'MS Implant Drills', 'LASK Drills', 'Screw Remover Drills', 'Path Drills', 'Saw Protector', 'Shaping Drill', 'Long Shank Pilot Drill', 'CAS Drills', 'Bone Profiler', 'OneGuide Drills']","Drill, Dental, Intraoral",DZA,2024-02-08,'flattening drill' 'twist drills' '123 drills' 'perforation drill' 'tissue punches' 'lance drills' '122 drills' 'guided initial drill' 'drill length indication' 'guide drills' 'orthodontic drills' 'set drills' 'triple edge drills' 'initial drills' 'sidecut drills' 'autobone collector' 'direct drills' 'trephine drills' 'onecas drills' 'cortical drills' 'anchor screw' 'digital lab analog reamer drill' 'crest remover' 'expansion drills' 'one485 drills' 'saw' 'ultra drills' 'onems drills' 'anchor drill' 'reverse drills' 'osstemguide drills' 'taper drills' 'three cutter drills' '485 drills' 'ms implant drills' 'lask drills' 'screw remover drills' 'path drills' 'saw protector' 'shaping drill' 'long shank pilot drill' 'cas drills' 'bone profiler' 'oneguide drills'
